name	value
application/atom+xml	2984
application/dita+xml; format=concept	345
application/epub+zip		36
application/fits	24
application/gzip	2060
application/java-vm	1
application/msword	244
application/octet-stream	211687
application/ogg	26
application/pdf	44658
application/postscript	219
application/rdf+xml	1042
application/rss+xml	8894
application/rtf	53
application/vnd.google-earth.kml+xml	298
application/vnd.ms-excel	227
application/vnd.ms-excel.sheet.4	1
application/vnd.ms-htmlhelp	1
application/vnd.oasis.opendocument.presentation	1
application/vnd.oasis.opendocument.text	10
application/vnd.rn-realmedia	105
application/vnd.sun.xml.writer	1
application/x-7z-compressed	2
application/x-bibtex-text-file	13
application/x-bittorrent	3
application/x-bzip	6
application/x-bzip2	63
application/x-compress	44
application/x-debian-package	4
application/x-elc	324
application/x-executable	35
application/x-font-ttf	9
application/x-gtar	46
application/x-hdf	41
application/x-java-jnilib	5
application/x-lha	2